"number","title","artist","album","album_release_date","release_date","pageviews","word_count","line_count","featured_artists","genius_url","genius_id","lyrics"
"1","Chandelier","Sia","1000 Forms of Fear (Deluxe)","","March 17, 2014","3316050","379","58","","https://genius.com/Sia-chandelier-lyrics","378195","Party girls don't get hurt
Can't feel anythin', when will I learn?
I push it down, I push it down
I'm the one for a good time call
Phone's blowin' up, ringin' my doorbell
I feel the love, I feel the love

One, two, three, one, two, three, drink
One, two, three, one, two, three, drink
One, two, three, one, two, three, drink
Throw 'em back 'til I lose count

I'm gonna swing from the chandelier
From the chandelier
I'm gonna live like tomorrow doesn't exist
Like it doesn't exist
I'm gonna fly like a bird through the night
Feel my tears as they dry
I'm gonna swing from the chandelier
From the chandelier

But I'm holdin' on for dear life
Won't look down, won't open my eyes
Keep my glass full until mornin' light
'Cause I'm just holdin' on for tonight
Help me, I'm holdin' on for dear life
Won't look down, won't open my eyes
Keep my glass full until mornin' light
'Cause I'm just holdin' on for tonight, on for tonight

Sun is up, I'm a mess
Gotta get out now, gotta run from this
Here comes the shame, here comes the shame
(Ah)

One, two, three, one, two, three, drink
One, two, three, one, two, three, drink
One, two, three, one, two, three, drink
Throw 'em back 'til I lose count

I'm gonna swing from the chandelier
From the chandelier
I'm gonna live like tomorrow doesn't exist
Like it doesn't exist
I'm gonna fly like a bird through the night
Feel my tears as they dry
I'm gonna swing from the chandelier
From the chandelier

But I'm holdin' on for dear life
Won't look down, won't open my eyes
Keep my glass full until mornin' light
'Cause I'm just holdin' on for tonight
Help me, I'm holdin' on for dear life
Won't look down, won't open my eyes
Keep my glass full until mornin' light
'Cause I'm just holdin' on for tonight, on for tonight

On for tonight
'Cause I'm just holdin' on for tonight
Oh, I'm just holdin' on for tonight
On for tonight, on for tonight
'Cause I'm just holdin' on for tonight
'Cause I'm just holdin' on for tonight
Oh, I'm just holdin' on for tonight
On for tonight, on for tonight"
"2","Cheap Thrills","Sia","This Is Acting (10th Anniversary Edition)","","February 11, 2016","2057665","358","54","","https://genius.com/Sia-cheap-thrills-lyrics","2391084","Come on, come on, turn the radio on
It's Friday night and I won't be long
Gotta do my hair, put my make up on
It's Friday night and I won't be long

'Til I hit the dance floor, hit the dance floor
I got all I need
No, I ain't got cash, I ain't got cash
But I got you, baby

Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
I don't need no money
As long as I can feel the beat
I don't need no money
As long as I keep dancing

Come on, come on, turn the radio on
It's Saturday and I won't be long
Gotta paint my nails, put my high heels on
It's Saturday and I won't be long

'Til I hit the dance floor, hit the dance floor
I got all I need
No, I ain't got cash, I ain't got cash
But I got you, baby

Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
I don't need no money
As long as I can feel the beat
I don't need no money
As long as I keep dancing

(I love cheap thrills)
(I love cheap thrills)
I don't need no money
As long as I can feel the beat
I don't need no money
As long as I keep dancing (Oh, oh, oh)

Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
Baby, I don't need dollar bills to have fun tonight (Oh)
(I love cheap thrills)
I don't need no money
As long as I can feel the beat
I don't need no money
As long as I keep dancing

La, la, la, la, la, la, la
(I love cheap thrills)
La, la, la, la, la, la, la
(I love cheap thrills)
La, la, la, la, la, la, la
(I love cheap thrills)
La, la, la, la, la, la, la
(I love cheap thrills)"
"3","The Greatest","Sia","This Is Acting (10th Anniversary Edition)","","September 5, 2016","1440193","523","76","Kendrick Lamar","https://genius.com/Sia-the-greatest-lyrics","2849661","Uh-oh, runnin' out of breath, but I
Oh, I, I got stamina
Uh-oh, running now, I close my eyes
Well, oh, I got stamina
And uh-oh, I see another mountain to climb
But I, I, I got stamina
Uh-oh, I need another lover, be mine
'Cause I, I, I got stamina

Don't give up, I won't give up
Don't give up, no, no, no
Don't give up, I won't give up
Don't give up, no, no, no

I'm free to be the greatest, I'm alive
I'm free to be the greatest here tonight, the greatest
The greatest, the greatest alive
The greatest, the greatest alive

Well, uh-oh, runnin' out of breath, but I
Oh, I, I got stamina
Uh-oh, runnin' now, I close my eyes
But, oh, I got stamina
And oh yeah, runnin' through the waves of love
But I, I got stamina
And oh yeah, I'm runnin' and I've just enough
And uh-oh, I got stamina

Don't give up, I won't give up
Don't give up, no, no, no
Don't give up, I won't give up
Don't give up, no, no, no

I'm free to be the greatest, I'm alive
I'm free to be the greatest here tonight, the greatest
The greatest, the greatest alive
The greatest, the greatest alive

Oh-oh, I got stamina
Oh-oh, I got stamina
Oh-oh, I got stamina
Oh-oh, I got stamina

Ayy, I am the truth
Ayy, I am the wisdom of the fallen; I'm the youth
Ayy, I am the greatest, ayy, this is the proof
Ayy, I work hard, pray hard, pay dues, ayy
I transform with pressure, I'm hands-on with effort
I fell twice before, my bounce back was special
Letdowns'll get you, and the critics'll test you
But the strong'll survive, another scar may bless you, ah

Don't give up (
No, no
), I won't give up (
No, no
)
Don't give up, no no no (
Nah
)
Don't give up, I won't give up
Don't give up, no, no, no

I'm free to be the greatest, I'm alive
I'm free to be the greatest here tonight, the greatest
The greatest, the greatest alive
(Don't give up, don't give up, don't give up, no, no, no)
The greatest, the greatest alive
(Don't give up, don't give up, don't give up, no, no, no)

The greatest, the greatest alive
(Don't give up, don't give up, don't give up; I got stamina)
The greatest, the greatest alive
(Don't give up, don't give up, don't give up; I got stamina)
The greatest, the greatest alive
(Don't give up, don't give up, don't give up; I got stamina)
The greatest, the greatest alive
(Don't give up, don't give up, don't give up; I got stamina)
The greatest, the greatest alive
(Don't give up, don't give up, don't give up; I got stamina)
The greatest, the greatest alive
(Don't give up, don't give up, don't give up; I got stamina)
The greatest, the greatest alive
(Don't give up, don't give up, don't give up; I got stamina)
The greatest, the greatest alive
(Don't give up, don't give up, don't give up; I got stamina)"
"4","Snowman","Sia","Everyday Is Christmas (Snowman Deluxe Edition) [2022]","","November 10, 2017","1413420","249","34","","https://genius.com/Sia-snowman-lyrics","3276441","Don't cry, snowman, not in front of me
Who'll catch your tears if you can't catch me, darling?
If you can't catch me, darling
Don't cry, snowman, don't leave me this way
A puddle of water can't hold me close, baby
Can't hold me close, baby

I want you to know that I'm never leaving
'Cause I'm Mrs. Snow, 'til death we'll be freezing
Yeah, you are my home, my home for all seasons
So come on, let's go
Let's go below zero and hide from the sun
I'll love you forever where we'll have some fun
Yes, let's hit the North Pole and live happily
Please don't cry no tears now, it's Christmas, baby

My snowman and me, eh
My snowman and me
Baby

Don't cry, snowman, don't you fear the sun
Who'll carry me without legs to run, honey?
Without legs to run, honey
Don't cry, snowman, don't you shed a tear
Who'll hear my secrets if you don't have ears, baby?
If you don't have ears, baby

I want you to know that I'm never leaving
'Cause I'm Mrs. Snow, 'til death we'll be freezing
Yeah, you are my home, my home for all seasons
So come on, let's go
Let's go below zero and hide from the sun
I'll love you forever where we'll have some fun
Yes, let's hit the North Pole and live happily
Please don't cry no tears now, it's Christmas, baby

My snowman and me, eh
My snowman and me
Baby"
"5","Cheap Thrills (Remix)","Sia","This Is Acting (10th Anniversary Edition)","","February 10, 2016","913193","629","116","Sean Paul","https://genius.com/Sia-cheap-thrills-remix-lyrics","2421373","Up with it, girl
Rock with it, girl (Sia)
Show dem it, girl (Bada bang, bang)
Bounce with it, girl
Dance with it, girl
Get with it, girl (Bada bang, bang)

Come on, come on, turn the radio on
It's Friday night and I won't be long
Gotta do my hair, put my make-up on
It's Friday night and I won't be long

'Til I hit the dance floor (
Bada bang
)
Hit the dance floor (
Bada bang
)
I got all I need
No, I ain't got cash, I ain't got cash
But I got you, baby
(
Just you and me
)

Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
I don't need no money
You're worth more dan diamond, more dan gold
As long as I can feel the beat
Mek di beat jus tek control
I don't need no money
You're worth more dan diamond, more dan gold
As long as I keep dancing
Free up yourself, get outta control

Come on, come on, turn the radio on
It's Saturday and I won't be long
Gotta paint my nails, put my high heels on
It's Saturday and I won't be long

'Til I hit the dance floor (
Bada bang
)
Hit the dance floor (
Bada bang
)
I got all I need (
Sia
)
No, I ain't got cash, I ain't got cash
But I got you, baby
(
Just you and me
)

Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
I don't need no money
You're worth more dan diamond, more dan gold
As long as I can feel the beat
Mek di beat jus tek control
I don't need no money
You're worth more dan diamond, more dan gold
As long as I keep dancing
Free up yourself, get outta control

[Verse 3: Sean Paul &
Sia
]
Me and you, girl, you and me
Drop it to di floor and mek mi see yuh energy
(
I love cheap thrills
)
Becah mi nah play no hide and seek
Wan' fi see di ting you have weh mek mi feel weak, girl (Free)
(
I love cheap thrills
)
'Cause anytime yuh wine and kotch it
Di selector pull it up an' put it 'pon repeat, girl (Ha)
(
I love cheap thrills
)
Mi nah touch a dollar 'na mi pocket
'Cause nothin' in this world ain't more dan what you worth
(
I love cheap thrills
)

I don't need no money
You're worth more dan diamond, more dan gold
As long as I can feel the beat
Mek di beat jus tek control
No, I don't need no money
You're worth more dan diamond, more dan gold
As long as I keep dancing
Free up yourself, get outta control
Oh, oh, oh

Baby, I don't need dollar bills to have fun tonight
(I love cheap thrills)
Baby, I don't need dollar bills to have fun tonight (Oh)
(I love cheap thrills)
I don't need no money
You're worth more dan diamond, more dan gold
As long as I can feel the beat
Mek di beat jus tek control
I don't need no money
You're worth more dan diamond, more dan gold
As long as I keep dancing
Free up yourself, get outta control

La, la, la, la, la, la
(I love cheap thrills)
La, la, la, la, la, la
(I love cheap thrills)
La, la, la, la, la, la
(I love cheap thrills)
La, la, la, la, la, la
(I love cheap thrills)"
"6","Helium","Sia","Fifty Shades Darker (Original Motion Picture Soundtrack)","","February 9, 2017","702059","312","44","","https://genius.com/Sia-helium-lyrics","2954007","I'm trying but I keep falling down
I cry out but nothing comes now
I'm giving my all and I know peace will come
I never wanted to need someone

Yeah, I wanted to play tough
Thought I could do all just on my own
But even Superwoman
Sometimes needed Superman's soul

Help me out of this hell
Your love lifts me up like helium
Your love lifts me up when I'm down, down, down
When I've hit the ground
You're all I need

And if you let go I'll float towards the sun
I'm stronger 'cause you fill me up
But when the fear comes and I drift towards the ground
I am lucky that you're around

Yeah, I wanted to play tough
Thought I could do all just on my own
But even Superwoman
Sometimes needed Superman's soul

Help me out of this hell
Your love lifts me up like helium
Your love lifts me up when I'm down, down, down
When I've hit the ground
You're all I need
'Cause your love lifts me up like helium
Your love lifts me up like helium

You lift me up and I am found
You lift me up before I hit the ground
You lift me up when I'm down, down, down
You lift me up before I hit the ground
You lift me up and I am found
You lift me up before I hit the ground
You lift me up when I'm down, down, down
You lift me up before I hit the ground!

Your love lifts me up like helium
Your love lifts me up when I'm down, down, down
When I've hit the ground
You're all I need
'Cause your love lifts me up like helium
Your love lifts me up like helium
Your love lifts me up like helium
Your love lifts me up like helium"
"7","Unstoppable","Sia","This Is Acting (10th Anniversary Edition)","","January 21, 2016","656204","301","40","","https://genius.com/Sia-unstoppable-lyrics","2404936","All smiles, I know what it takes to fool this town
I'll do it 'til the sun goes down and all through the night time
Oh, yeah
Oh, yeah, I'll tell you what you wanna hear
Keep my sunglasses on while I shed a tear
It's never the right time, yeah-yeah

I put my armour on, show you how strong I am
I put my armour on, I'll show you that I am

I'm unstoppable, I'm a Porsche with no brakes
I'm invincible, yeah, I win every single game
I'm so powerful, I don't need batteries to play
I'm so confident, yeah, I'm unstoppable today
Unstoppable today, unstoppable today
Unstoppable today, I'm unstoppable today

Breakdown, only alone I will cry out loud
You'll never see what's hiding out
Hiding out deep down, yeah-yeah
I know, I've heard that to let your feelings show
Is the only way to make friendships grow
But I'm too afraid now, yeah

I put my armour on, show you how strong I am
I put my armour on, I'll show you that I am

I'm unstoppable, I'm a Porsche with no brakes
I'm invincible, yeah, I win every single game
I'm so powerful, I don't need batteries to play
I'm so confident, yeah, I'm unstoppable today
Unstoppable today, unstoppable today
Unstoppable today, I'm unstoppable today
Unstoppable today, unstoppable today
Unstoppable today, I'm unstoppable today

I put my armour on, show you how strong I am
I put my armour on, I'll show you that I am

I'm unstoppable, I'm a Porsche with no brakes
I'm invincible, yeah, I win every single game
I'm so powerful, I don't need batteries to play
I'm so confident, yeah, I'm unstoppable today
Unstoppable today, unstoppable today
Unstoppable today, I'm unstoppable today
Unstoppable today, unstoppable today
Unstoppable today, I'm unstoppable today"
"8","Elastic Heart","Sia","1000 Forms of Fear (Deluxe)","","October 1, 2013","636799","382","53","","https://genius.com/Sia-elastic-heart-lyrics","2843978","Up, I won't give up, I won't give up
I won't give up, I won't give up

And another one bites the dust
Oh, why can I not conquer love?
And I might have thought that we were one
Wanted to fight this war without weapons
And I wanted it, I wanted it bad
But there were so many red flags
Now another one bites the dust
Yeah, let's be clear, I'll trust no one

You did not break me
I'm still fighting for peace

Well, I've got thick skin and an elastic heart
But your blade, it might be too sharp
I'm like a rubber band until you pull too hard
Yeah, I may snap and I move fast
But you won't see me fall apart
'Cause I've got an elastic heart

I've got an elastic heart
Yeah, I've got an elastic heart

And I will stay up through the night
Yeah, let's be clear, won't close my eyes
And I know that I can survive
I'll walk through fire to save my life
And I want it, I want my life so bad
I'm doin' everythin' I can
And another one bites the dust
It's hard to lose a chosen one

You did not break me
I'm still fighting for peace

Well, I've got thick skin and an elastic heart
But your blade, it might be too sharp
I'm like a rubber band until you pull too hard
Yeah, I may snap and I move fast
But you won't see me fall apart
'Cause I've got an elastic heart

Oh, oh, oh-oh-oh-oh-oh
Oh, oh, oh
Oh, oh, oh-oh-oh-oh-oh
Oh, oh, oh

Well, I've got thick skin and an elastic heart
But your blade, it might be too sharp
I'm like a rubber band until you pull too hard
Yeah, I may snap and I move fast
But you won't see me fall apart
'Cause I've got an elastic heart
Well, I've got thick skin and an elastic heart (Whoa, whoa)
But your blade, it might be too sharp
I'm like a rubber band until you pull too hard (Whoa, whoa)
Yeah, I may snap and I move fast
But you won't see me fall apart (Whoa, whoa)
'Cause I've got an elastic heart (Whoa, whoa)

I've got an elastic heart"
"9","Elastic Heart (Hunger Games Version)","Sia","The Hunger Games: Catching Fire (Original Motion Picture Soundtrack)","","September 30, 2013","488349","413","61","The Weeknd, Diplo","https://genius.com/Sia-elastic-heart-hunger-games-version-lyrics","230407","I won't give up, I won't give up
I won't give up, I won't give up

And another one bites the dust
Oh, why can I not conquer love?
And I might have thought that we were one
Wanted to fight this war without weapons
And I wanted it, I wanted it bad
But there were so many red flags
Now another one bites the dust
Yeah, let's be clear, I'll trust no one

You did not break me
I'm still fighting for peace

Well, I've got thick skin and an elastic heart
But your blade, it might be too sharp
I'm like a rubber band until you pull too hard
Yeah, I may snap and I move fast
But you won't see me fall apart
'Cause I've got an elastic heart

I've got an elastic heart
Yeah, I've got an elastic heart

And I will stay up through the night
Let's be clear, won't close my eyes
And I know that I can survive
I'll walk through fire to save my life
And I want it, I want my life so bad
I'm doin' everything I can
Then another one bites the dust
It's hard to lose a chosen one

You did not break me (You did not break me, no, no)
I'm still fighting for peace

Well, I've got thick skin and an elastic heart
But your blade, it might be too sharp
I'm like a rubber band until you pull too hard
Yeah, I may snap and I move fast
But you won't see me fall apart
'Cause I've got an elastic heart (
No, no-no, no-no, no
)

Oh, oh, oh-oh-oh-oh-oh
Oh, oh, oh
Oh, oh, oh-oh-oh-oh-oh
Oh, oh, oh

Well, I've got thick skin and an elastic heart (Oh, oh)
But your blade, it might be too sharp
I'm like a rubber band until you pull too hard (Oh, oh no,
ooh
)
Yeah, I may snap and I move fast
But you won't see me fall apart (Oh, oh)
'Cause I've got an elastic heart (Oh, oh no)
Well, I've got thick skin and an elastic heart (Oh, oh)
But your blade, it might be too sharp
I'm like a rubber band until you pull too hard (Oh, oh no)
Yeah, I may snap and I move fast (
Ooh, oh
)
But you won't see me fall apart (Oh, oh,
oh
)
'Cause I've got an elastic heart (Oh, oh no)

I've got an elastic heart"
"10","Bird Set Free","Sia","This Is Acting (10th Anniversary Edition)","","November 6, 2015","348057","423","53","","https://genius.com/Sia-bird-set-free-lyrics","2345618","Clipped wings, I was a broken thing
Had a voice, had a voice but I could not sing
You'd worn me down
I struggled on the ground, oh
So lost, the line had been crossed
Had a voice, had a voice but I could not talk
You held me down
I struggle to fly now, oh

But there's a scream inside that we all try to hide
We hold on so tight, but we cannot deny
Eats us alive, oh it eats us alive, oh
Yes, there's a scream inside that we all try to hide
We hold on so tight, but I don't wanna die, no
I don't wanna die, I don't wanna die, yeah

And I don't care if I sing off key
I found myself in my melodies
I sing for love, I sing for me
I shout it out like a bird set free
No, I don't care if I sing off key
I found myself in my melodies
I sing for love, I sing for me
I'll shout it out like a bird set free

Oh-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh
I'll shout it out like a bird set free
Oh-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh
I'll shout it out like a bird set free

Now I fly, hit the high notes
I have a voice, have a voice, hear me roar tonight
You held me down, but I fought back loud, oh

And there's a scream inside that we all try to hide
We hold on so tight, but we cannot deny
Eats us alive, oh, it eats us alive, oh
Yes, there's a scream inside that we all try to hide
We hold on so tight, but I don't wanna die, no
I don't wanna die, I don't wanna die, yeah

And I don't care if I sing off key
I found myself in my melodies
I sing for love, I sing for me
I shout it out like a bird set free
No, I don't care if I sing off key
I found myself in my melodies
I sing for love, I sing for me
I'll shout it out like a bird set free

Oh-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh
I'll shout it out like a bird set free
Oh-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh
I'll shout it out like a bird set free
Oh-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh
I'll shout it out like a bird set free
Oh-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh
I'll shout it out like a bird set free
Oh-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh
I'll shout it out like a bird set free"
